book_id,book_name,cutoff,y,AutoARIMA,HoltWinters,SeasonalNaive,MAPE_AutoARIMA,MAPE_HoltWinters,MAPE_SeasonalNaive
30573981826,Size travel decide house.,2022-03-01,3003641.2,2742851.8,2405803.2,2499628.5,-0.08682445,-0.19903775,-0.16780058
30573981826,Size travel decide house.,2022-04-01,2890675.8,4063345.5,2738850.0,2617466.2,0.40567324,-0.05252258,-0.09451406
30573981826,Size travel decide house.,2022-05-01,2775304.5,3996222.0,3139840.2,2743631.0,0.439922,0.13134982,-0.0114126215
30573981826,Size travel decide house.,2022-06-01,2711851.2,3532246.5,3272375.2,2851603.5,0.3025222,0.20669423,0.051533893
30573981826,Size travel decide house.,2022-07-01,2724836.5,2298909.2,3282353.8,2874767.5,-0.15631296,0.20460576,0.055023853
30573981826,Size travel decide house.,2022-08-01,2734596.5,2498589.0,3356962.5,2916670.0,-0.08630432,0.2275897,0.06658149
30573981826,Size travel decide house.,2022-09-01,2775911.5,3130592.2,3243136.0,2933125.5,0.12777092,0.1683139,0.05663509
33244945363,But which not him.,2022-03-01,2535441.5,2674591.8,2660503.8,2644303.8,0.05488206,0.04932563,0.04293621
33244945363,But which not him.,2022-04-01,2491266.2,2826018.2,2659155.0,2658026.5,0.13437022,0.06739093,0.066937946
33244945363,But which not him.,2022-05-01,2470565.5,2708668.8,2657850.0,2645389.2,0.09637601,0.07580633,0.07076264
33244945363,But which not him.,2022-06-01,2453762.8,2721903.5,2652827.8,2649611.2,0.109277375,0.08112642,0.07981558
33244945363,But which not him.,2022-07-01,2440102.0,2641567.5,2621806.5,2640003.5,0.08256438,0.074465945,0.08192342
33244945363,But which not him.,2022-08-01,2414681.0,2714719.8,2646229.0,2627608.5,0.12425606,0.09589176,0.088180386
33244945363,But which not him.,2022-09-01,2400536.5,2648922.8,2674924.0,2648922.8,0.10347114,0.114302576,0.10347114
44468800277,Mother still Republican ball military response.,2022-03-01,2476548.0,2886732.2,2796766.0,2616314.5,0.16562742,0.12930013,0.056436013
44468800277,Mother still Republican ball military response.,2022-04-01,2457869.8,2629829.2,2808080.0,2630347.0,0.06996282,0.14248528,0.07017347
44468800277,Mother still Republican ball military response.,2022-05-01,2432507.0,2707965.2,2848221.0,2656731.2,0.11324047,0.1708994,0.092178255
44468800277,Mother still Republican ball military response.,2022-06-01,2424536.2,2462500.8,2848542.8,2666393.8,0.015658459,0.17488149,0.099754125
44468800277,Mother still Republican ball military response.,2022-07-01,2418878.5,2317507.2,2822547.8,2655550.0,-0.04190837,0.16688281,0.09784348
44468800277,Mother still Republican ball military response.,2022-08-01,2438450.5,2324580.5,2666884.2,2610275.5,-0.046697687,0.09367988,0.07046483
44468800277,Mother still Republican ball military response.,2022-09-01,2443971.5,2185563.2,2506821.5,2577605.5,-0.105732925,0.025716338,0.054679032
81207027403,Learn culture night partner form meet.,2022-03-01,4457358.5,6128717.0,6056435.0,5671269.0,0.37496614,0.3587498,0.27233854
