unique_id,ds,cutoff,y,AutoARIMA,HoltWinters,SeasonalNaive
30573981826,2022-04-01,2022-03-01,350634.06,230494.89,224654.73,232796.2
30573981826,2022-05-01,2022-03-01,344493.03,230143.31,209761.62,218328.25
30573981826,2022-06-01,2022-03-01,306513.3,229792.27,190994.52,198541.0
30573981826,2022-07-01,2022-03-01,208279.39,229441.75,178439.78,185115.28
30573981826,2022-08-01,2022-03-01,224803.39,229091.77,176092.97,182900.98
30573981826,2022-09-01,2022-03-01,223190.12,228742.33,208509.64,206734.55
30573981826,2022-05-01,2022-04-01,344493.03,348747.8,223827.06,218328.25
30573981826,2022-06-01,2022-04-01,306513.3,346871.72,207447.2,198541.0
30573981826,2022-07-01,2022-04-01,208279.39,345005.72,191289.17,185115.28
30573981826,2022-08-01,2022-04-01,224803.39,343149.78,192036.55,182900.98
30573981826,2022-09-01,2022-04-01,223190.12,341303.78,234255.33,206734.55
30573981826,2022-10-01,2022-04-01,220235.0,339467.75,228752.7,201881.05
30573981826,2022-06-01,2022-05-01,306513.3,342693.72,230775.52,198541.0
30573981826,2022-07-01,2022-05-01,208279.39,340903.78,220783.67,185115.28
30573981826,2022-08-01,2022-05-01,224803.39,339123.2,213002.36,182900.98
30573981826,2022-09-01,2022-05-01,223190.12,337351.94,267974.34,206734.55
30573981826,2022-10-01,2022-05-01,220235.0,335589.9,262273.9,201881.05
30573981826,2022-11-01,2022-05-01,231103.98,333837.06,265274.72,220066.86
30573981826,2022-07-01,2022-06-01,208279.39,304599.5,218405.9,185115.28
30573981826,2022-08-01,2022-06-01,224803.39,302697.62,209804.14,182900.98
30573981826,2022-09-01,2022-06-01,223190.12,300807.62,270634.72,206734.55
30573981826,2022-10-01,2022-06-01,220235.0,298929.44,262731.38,201881.05
30573981826,2022-11-01,2022-06-01,231103.98,297062.97,272497.12,220066.86
30573981826,2022-12-01,2022-06-01,224620.69,295208.12,269121.2,208439.75
30573981826,2022-08-01,2022-07-01,224803.39,205585.92,219524.19,182900.98
30573981826,2022-09-01,2022-07-01,223190.12,202927.28,270807.8,206734.55
30573981826,2022-10-01,2022-07-01,220235.0,200303.02,259051.4,201881.05
30573981826,2022-11-01,2022-07-01,231103.98,197712.7,263984.4,220066.86
30573981826,2022-12-01,2022-07-01,224620.69,195155.88,274443.72,208439.75
30573981826,2023-01-01,2022-07-01,221741.22,192632.12,270719.66,202864.11
30573981826,2022-09-01,2022-08-01,223190.12,222139.02,272695.72,206734.55
30573981826,2022-10-01,2022-08-01,220235.0,219506.22,265502.28,201881.05
30573981826,2022-11-01,2022-08-01,231103.98,216904.62,285295.2,220066.86
30573981826,2022-12-01,2022-08-01,224620.69,214333.88,269225.44,208439.75
30573981826,2023-01-01,2022-08-01,221741.22,211793.6,273353.8,202864.11
30573981826,2023-02-01,2022-08-01,231006.2,209283.4,255634.61,211113.4
30573981826,2022-10-01,2022-09-01,220235.0,218336.61,259507.0,201881.05
30573981826,2022-11-01,2022-09-01,231103.98,236522.44,265898.66,220066.86
30573981826,2022-12-01,2022-09-01,224620.69,224895.31,261071.61,208439.75
30573981826,2023-01-01,2022-09-01,221741.22,219319.69,262193.22,202864.11
30573981826,2023-02-01,2022-09-01,231006.2,227568.98,253207.45,211113.4
30573981826,2023-03-01,2022-09-01,217020.73,247302.58,255392.14,230847.02
30573981826,2022-11-01,2022-10-01,231103.98,238420.81,256543.08,220066.86
30573981826,2022-12-01,2022-10-01,224620.69,226793.7,259905.42,208439.75
